DEPTH,,CALI,RHOB,TNPH,SP,SGR,LLD,LLS,MSFLC,DTLN,DRHO,PERMCORE  .,PHICORE ,GDCORE
FT,,IN,G/C3,DEC,MV,GAPI,OHMM,OHMM,OHMM,US/F,G/C3,MD,FRAC,KGDM
8092.5,8032.5,8.11,2.308,0.168,-7.81,20.62,1.72,1.57,1.03,79.60,0.002,-999,-999,-999
8093.0,8033.0,8.11,2.293,0.177,-7.85,18.15,1.78,1.55,1.01,80.35,0.003,-999,-999,-999
8093.5,8033.5,8.11,2.277,0.187,-8.03,23.05,2.05,1.63,1.08,80.40,0.001,-999,-999,-999
8094.0,8034.0,8.11,2.326,0.202,-8.24,33.05,2.23,1.83,1.38,80.60,0.000,-999,-999,-999
8094.5,8034.5,8.11,2.369,0.209,-8.54,52.84,2.32,1.97,1.64,80.45,0.001,-999,-999,-999
8095.0,8035.0,8.10,2.340,0.194,-8.77,59.97,2.33,2.06,1.72,80.00,-0.006,-999,-999,-999
8095.5,8035.5,8.11,2.312,0.173,-8.87,46.63,2.14,2.07,1.57,79.60,-0.006,-999,-999,-999
8096.0,8036.0,8.11,2.328,0.161,-8.85,29.58,2.02,1.93,1.34,79.20,0.001,-999,-999,-999
8096.5,8036.5,8.11,2.323,0.157,-9.07,23.68,2.07,1.84,1.28,78.70,-0.004,-999,-999,-999
8097.0,8037.0,8.11,2.331,0.159,-9.48,27.08,2.25,1.90,1.38,78.01,-0.005,-999,-999,-999
8097.5,8037.5,8.12,2.349,0.167,-10.07,31.32,2.46,2.07,1.55,78.50,0.000,-999,-999,-999
8098.0,8038.0,8.14,2.342,0.172,-10.51,39.01,2.63,2.24,1.67,78.95,-0.002,-999,-999,-999
8098.5,8038.5,8.14,2.330,0.178,-10.95,42.06,2.81,2.39,1.72,79.40,-0.003,-999,-999,-999
8099.0,8039.0,8.14,2.315,0.183,-11.37,42.22,2.96,2.57,1.74,80.30,-0.013,-999,-999,-999
8099.5,8039.5,8.14,2.344,0.192,-11.69,42.09,2.92,2.71,1.77,80.30,-0.010,-999,-999,-999
8100.0,8040.0,8.14,2.348,0.197,-12.01,48.05,2.92,2.69,1.82,80.60,-0.005,-999,-999,-999
8100.5,8040.5,8.14,2.338,0.195,-12.05,57.65,2.88,2.73,1.86,80.00,-0.010,-999,-999,-999
8101.0,8041.0,8.14,2.351,0.185,-11.96,55.26,2.72,2.70,1.85,79.25,-0.006,-999,-999,-999
8101.5,8041.5,8.14,2.345,0.180,-11.67,51.59,2.56,2.57,1.80,78.80,-0.002,-999,-999,-999
8102.0,8042.0,8.14,2.345,0.178,-11.18,42.23,2.44,2.45,1.74,78.80,0.000,-999,-999,-999
8102.5,8042.5,8.14,2.332,0.175,-10.73,41.49,2.28,2.35,1.59,78.65,-0.001,-999,-999,-999
8103.0,8043.0,8.15,2.316,0.173,-10.25,40.56,2.20,2.22,1.44,79.30,-0.001,-999,-999,-999
8103.5,8043.5,8.15,2.314,0.173,-9.93,30.55,2.16,2.14,1.31,80.10,0.007,-999,-999,-999
8104.0,8044.0,8.15,2.308,0.175,-9.90,28.28,2.10,2.10,1.25,80.30,0.007,-999,-999,-999
8104.5,8044.5,8.15,2.307,0.177,-10.02,33.11,2.12,2.04,1.23,80.40,0.009,-999,-999,-999
8105.0,8045.0,8.15,2.325,0.189,-10.19,33.81,2.46,2.09,1.54,79.55,0.011,-999,-999,-999
8105.5,8045.5,8.16,2.407,0.231,-10.56,40.43,3.00,2.42,2.49,79.00,0.010,-999,-999,-999
8106.0,8046.0,8.17,2.514,0.267,-10.95,60.69,3.68,2.91,3.51,79.50,0.029,-999,-999,-999
8106.5,8046.5,8.23,2.518,0.259,-11.40,80.04,3.72,3.59,4.29,78.45,0.028,-999,-999,-999
8107.0,8047.0,8.24,2.455,0.221,-11.88,78.94,3.30,3.99,4.07,78.51,0.006,-999,-999,-999
8107.5,8047.5,8.21,2.380,0.189,-11.91,70.29,2.76,3.32,3.18,79.80,0.000,-999,-999,-999
8108.0,8048.0,8.15,2.343,0.173,-11.72,51.60,2.27,2.63,2.24,78.70,0.001,-999,-999,-999
8108.5,8048.5,8.11,2.306,0.167,-11.53,34.27,2.05,2.21,1.58,79.60,-0.001,-999,-999,-999
8109.0,8049.0,8.11,2.305,0.163,-11.39,31.65,2.08,2.02,1.35,79.90,0.003,-999,-999,-999
8109.5,8049.5,8.11,2.316,0.165,-11.45,30.89,2.24,2.07,1.38,80.10,0.007,-999,-999,-999
8110.0,8050.0,8.11,2.336,0.174,-11.54,33.19,2.57,2.24,1.54,79.85,0.006,-999,-999,-999
8110.5,8050.5,8.11,2.369,0.183,-11.77,40.53,2.99,2.56,1.86,79.55,0.011,-999,-999,-999
8111.0,8051.0,8.12,2.393,0.193,-11.91,51.84,3.16,2.90,2.20,79.90,0.016,-999,-999,-999
8111.5,8051.5,8.19,2.425,0.202,-12.08,66.03,3.07,2.98,2.34,79.60,0.026,-999,-999,-999
8112.0,8052.0,8.23,2.429,0.197,-12.20,68.75,2.75,2.83,2.23,79.85,0.026,-999,-999,-999
8112.5,8052.5,8.13,2.373,0.181,-12.21,67.72,2.48,2.52,1.89,80.15,0.015,-999,-999,-999
